id	sampleA	sampleB	baseMeanA	baseMeanB	log2FC	pval	padj	sig
LOC100823853	KOZ1C	KOZ1T	5.600204181872272	9.830924251714316	-0.8058937019003657	0.33801222079809823	0.9999258991348372	notDE
LOC100823854	KOZ1C	KOZ1T	1.0824335378152796	4.6600987392549715	-2.1628037968088067	0.25501041210366293	NA	notDE
LOC100823855	KOZ1C	KOZ1T	109.3614729650462	108.46307584979277	0.013617483947468069	0.9565943293298403	0.9999258991348372	notDE
LOC100823856	KOZ1C	KOZ1T	876.8389838049851	598.7123171009366	0.5516326745632371	0.11484122503872955	0.9999258991348372	notDE
LOC100823857	KOZ1C	KOZ1T	5.560491924686075	4.123636353963292	0.44108352209109764	0.6811110859125693	0.9999258991348372	notDE
LOC100823858	KOZ1C	KOZ1T	3030.524480728623	3414.0144900507094	-0.1722973526011234	0.4348747713176271	0.9999258991348372	notDE
LOC100823860	KOZ1C	KOZ1T	3.068876441986186	2.772417062703092	0.1732125098389109	0.9408138449547121	NA	notDE
LOC100823861	KOZ1C	KOZ1T	41.91741752234901	47.193532769878935	-0.1809440582626246	0.6574769155959626	0.9999258991348372	notDE
LOC100823862	KOZ1C	KOZ1T	210.88327643741619	169.73682482569868	0.3113268862832586	0.14980316927961757	0.9999258991348372	notDE
LOC100823864	KOZ1C	KOZ1T	8.62936836667226	1.3464521712548543	2.685894397890442	0.049208018838502794	0.9659012048682564	notDE
LOC100823865	KOZ1C	KOZ1T	148.00737577595436	136.75286144579036	0.11810809945954154	0.7560477668434342	0.9999258991348372	notDE
LOC100823866	KOZ1C	KOZ1T	67.55418820745216	58.51082061313527	0.20564670808898974	0.6120251103801513	0.9999258991348372	notDE
LOC100823869	KOZ1C	KOZ1T	4.002985744191789	4.488065186821226	-0.18048498349600353	0.8665281800823367	0.9999258991348372	notDE
LOC100823870	KOZ1C	KOZ1T	66.67906214788133	73.16438845660583	-0.13569172385522302	0.6352324217496679	0.9999258991348372	notDE
